Viper187 & Delta FORCE
VALUES
8003 8005
75D0 5A60 -  - 0000 double alarm
75F0 5A6C -  - 0001 alarm
7610 5A78 -  - 0002 white pyramid
7630 5A88 -  - 0003 ammo box - brown
7650 5A98 -  - 0004 ammo box - brown
7670 5AA8 -  - 0005 ammo box - green
7690 5AB8 -  - 0006 ammo box - green
76B0 5AC8 -  - 0007 ammo box - green
76D0 5AD8 -  - 0008 piece of Egyptian collumn
76F0 5AE0 -  - 0009 desk blotter
7710 5AEC -  - 000A red book
7730 5AF4 -  - 000B full bookshelf
7750 5B04 -  - 000C bridge console
7770 5B18 -  - 000D bridge console
7790 5B2C -  - 000E bridge console
77B0 5B40 -  - 000F bridge console
77D0 5B54 -  - 0010 bridge console
77F0 5B68 -  - 0011 bridge console
7810 5B7C -  - 0012 cardboard pistol ammo box
7830 5B88 -  - 0013 cardboard pistol ammo box
7850 5B94 -  - 0014 cardboard pistol ammo box
7870 5BA0 -  - 0015 cardboard pistol ammo box
7890 5BB0 -  - 0016 cardboard pistol ammo box
78B0 5BC0 -  - 0017 cardboard pistol ammo box
78D0 5BD0 -  - 0018 surveillance camera
78F0 5BD8 -  - 0019 double screen console
7910 5BE4 -  - 001A double screen console
7930 5BF0 -  - 001B double screen console
7950 5BFC -  - 001C console
7970 5C0C -  - 001D console
7990 5C1C -  - 001E console
79B0 5C2C -  - 001F console
79D0 5C3C -  - 0020 console
79F0 5C4C -  - 0021 console
7A10 5C5C -  - 0022 console
7A30 5C6C -  - 0023 console
7A50 5C7C -  - 0024 console
7A70 5C90 -  - 0025 single screen consoles
7A90 5CA4 -  - 0026 white table
7AB0 5CAC -  - 0027 white table
7AD0 5CB4 -  - 0028 Archives desk lamp
7AF0 5CC4 -  - 0029 part of Aztec DAT box
7B10 5CD4 -  - 002A other part of Aztec DAT box
7B30 5CE4 -  - 002B two drawer white cabinet
7B50 5CF8 -  - 002C jerry can
7B70 5D08 -  - 002D computer keyboard
7B90 5D14 -  - 002E 4 door & drawer bench
7BB0 5D24 -  - 002F desk in-tray
7BD0 5D34 -  - 0030 mainframe
7BF0 5D44 -  - 0031 mainframe
7C10 5D54 -  - 0032 chair
7C30 5D64 -  - 0033 metal crate
7C50 5D74 -  - 0034 metal crate
7C70 5D84 -  - 0035 metal crate
7C90 5D94 -  - 0036 ribbed steel box
7CB0 5DA4 -  - 0037 model of Silo rocket
7CD0 5DB4 -  - 0038 4 models in a row
7CF0 5DC4 -  - 0039 oil drum
7D10 5DD0 -  - 003A oil drum
7D30 5DDC -  - 003B oil drum
7D50 5DE8 -  - 003C oil drum
7D70 5DF4 -  - 003D oil drum
7D90 5E00 -  - 003E oil drum
7DB0 5E0C -  - 003F padlock
7DD0 5E18 -  - 0040 phone
7DF0 5E24 -  - 0041 radio
7E10 5E34 -  - 0042 radio
7E30 5E44 -  - 0043 radio
7E50 5E54 -  - 0044 radio
7E70 5E64 -  - 0045 Silo goldeneye sattelite
7E90 5E74 -  - 0046 Antenna dish from Dam
7EB0 5E80 -  - 0047 small tape recorder
7ED0 5E8C -  - 0048 wooden stool
7EF0 5E98 -  - 0049 swivel chair
7F10 5EA8 -  - 004A rack of 3 blue rockets
7F30 5EB8 -  - 004B small television or monitor
7F50 5EC0 -  - 004C hanging monitor rack
7F70 5ECC -  - 004D wall monitor screen
7F90 5ED8 -  - 004E wall monitor screen
7FB0 5EE4 -  - 004F wooden crate
7FD0 5EF8 -  - 0050 wooden crate
7FF0 5F0C -  - 0051 wooden crate
8010 5F20 -  - 0052 wooden crate
8030 5F34 -  - 0053 wooden crate
8050 5F48 -  - 0054 wooden crate
8070 5F5C -  - 0055 Archives PP7 wooden table
8090 5F6C -  - 0056 Floppy disc
80B0 5F7C -  - 0057 blue & gold printed circuit cube
80D0 5F8C -  - 0058 metal crate stack, 4x4
80F0 5F98 -  - 0059 metal crate stack, 4x3
8110 5FA4 -  - 005A metal crate stack, 4x2
8130 5FB0 -  - 005B red button on vertical slab
8150 5FBC -  - 005C small rocket
8170 5FC8 -  - 005D Silo rocket, full size
8190 5FD0 -  - 005E double console on castors
81B0 5FE4 -  - 005F counter or bar
81D0 5FF4 -  - 0060 locker set
81F0 6000 -  - 0061 locker set
8210 600C -  - 0062 ceiling drone gun
8230 6018 -  - 0063 Frigate square pack rocket launcher, pointing down.
8250 6028 -  - 0064 Frigate square pack rocket launcher, pointing up.
8270 6038 -  - 0065 Frigate gun turret
8290 6044 -  - 0066 Frigate rocket rack
82B0 6054 -  - 0067 Runway rocket launcher
82D0 6064 -  - 0068 window glass
82F0 6070 -  - 0069 window lattice frame
8310 6084 -  - 006A half size window lattice
8330 6098 -  - 006B smaller lattice
8350 60A8 -  - 006C Jungle big tree
8370 60B8 -  - 006D Jungle palm
8390 60C0 -  - 006E Jungle palm resprouting after loss of fronds
83B0 60CC -  - 006F Jungle low shrub
83D0 60D8 -  - 0070 shrunken Facility laboratory bench
83F0 60E4 -  - 0071 Facility, Runway white rubbish bin
