GoldenEye 007
C:CODE DESCRIPTION|CODE|CREATOR|NOTE
EX: C:Infinite Health|80124FAC 004F|Awesome Hacker|Only works in single player 

versus info at 8003a228.  Ch per object.  
8003,75d0|8005,5a60|3dcc,cccd
prior object line
object load
size

0000    Palarm1Z                double alarm
0001    Palarm2Z                alarm [05]
0002    PexplosionbitZ          white pyramid
0003    Pammo_crate1Z           ammo box - light brown [14]
0004    Pammo_crate2Z           ammo box - brown [14]
0005    Pammo_crate3Z           ammo box - green [14]
0006    Pammo_crate4Z           ammo box - green + white text[14]
0007    Pammo_crate5Z           ammo box - green double-brace[14]
0008    Pbin1Z                  piece of Egyptian collumn
0009    Pblotter1Z              desk blotter
000A    Pbook1Z                 red book
000B    Pbookshelf1Z            full bookshelf
000C    Pbridge_console1aZ      bridge console W/ Keyboard
000D    Pbridge_console1bZ      bridge console, controls on right
000E    Pbridge_console2aZ      bridge console W/ Keyboard
000F    Pbridge_console2bZ      bridge console, 3 controls
0010    Pbridge_console3aZ      bridge console W/ Keyboard
0011    Pbridge_console3bZ      bridge console, keyboard on Left
0012    Pcard_box1Z             cardboard box, Kapto|enb [03]
0013    Pcard_box2Z             cardboard box,red arrow, BaHko [03]
0014    Pcard_box3Z             cardboard box, scrawled text, baHaH [03]
0015    Pcard_box4_lgZ          cardboard box, three seams [03]
0016    Pcard_box5_lgZ          cardboard box, 4 seams, arrow, baHaH [03]
0017    Pcard_box6_lgZ          cardboard box, dark Arrow, BaHko [03]
0018    PcctvZ                  surveillance camera [06]
0019    Pconsole1Z              double screen console [0B]
001A    Pconsole2Z              double screen console [0B]
001B    Pconsole3Z              double screen console [0B]
001C    Pconsole_sevaZ          console W/ Keyboard
001D    Pconsole_sevbZ          console, keyboard + monitor
001E    Pconsole_sevcZ          console
001F    Pconsole_sevdZ          console
0020    Pconsole_sev2aZ         console [03]
0021    Pconsole_sev2bZ         console(monitor, keyboard, controls) [0A]
0022    Pconsole_sev2cZ         console [03]
0023    Pconsole_sev2dZ         console [16]
0024    Pconsole_sev_GEaZ	24 [03]
0025    Pconsole_sev_GEbZ       controls only
0026    Pdesk1Z                 desk W/ Kickplate [03]
0027    Pdesk2Z                 white table [03]
0028    Pdesk_lamp2Z            Archives desk lamp
0029    Pdisc_readerZ           part of Aztec DAT box
002A    Pdisk_drive1Z           other part of Aztec DAT box
002B    Pfiling_cabinet1Z       two drawer white cabinet [03]
002C    Pjerry_can1Z            jerry can
002D    Pkeyboard1Z             computer keyboard [03]
002E    Pkit_units1Z            4 door & drawer bench [03]
