ammo box ammo types


type #	amount	text on pickup	description of type

01	10	ammo    	9mm ammo
02	10	ammo    	seemingly also 9mm ammo
03	10	ammo    	rifle ammo
04	5	cartridges	shotgun cartridges
05	1	grenades	hand grenades
06	1	rockets 	rockets
07	1	remote mines	remote mines
08	1	proximity mines	proximity mines
09	1	timed mines	timed mines
0A	1	knives  	throwing knives
0B	3	grenade rounds	grenade launcher round
0C	5	magnum bullets	magnum rounds
0D	3	golden bullets	golden bullets

0E	4	darts           	no assigned object
0F	1	explosive pen    	no assigned object
10	1	explosive case  	bombcase
11	1	flare           	flare gun (non-functional)
12	1	piton           	piton gun (non-functional)
13	1	stick of dynamite	no assigned object
14	1	a bug           	bug used in dam, frigate
15	1	a micro camera   	micro camera beta pickup
16	1	goldeneye key   	goldeneye key
17	1	plastique       	plastique
18	?	.               	watch laser
19	?	.               	watch magnet attract
1A	?	.               	no assigned object
1B	?	.     			camera
1C	?	.               	tank
1D	1	the token        	multiplayer flag

all others can not be collected
