Format Code	0x0
  This sets the way the object is destroyed.
0000	object breaks.  no bits or explosion
0001	same as 0
0002	med explosion	letter tray, books, small desk items
0003	med explosion	chairs, locker, briefcase
0004	large explosion w/ bits	funiture, boxes, heavy vehicles
0005	large explosion w/ bits	explosion bit, torpedos, warhead, ICBM
0006	small explosion w/ bits	electronics
0007	small explosion	lamp, camera, radio, dish, tv
0008	med explode+small explosions w/ bits	other consoles
0009	multi small explosions w/ bits	consoles
000A	med explosion w/ bits
000B	med explosion	large subsequent explosion; missiles, ammo crates
000C	large explosion	fire extinguisher
000D	large explosion	frigate engine, all explosive weapons, cars, landmines
000E	fiery plume	gas canister explosion type
000F	bits only	desks and tables

----------------------------------------------------
0006	315C	7B6C	DBFF	5126	FB59	7CA7	
0006	2AFE	CB3E	73F4	278F	6D3A	44C8	
0005	0000	0000	0000	0000	0000	0000	
000B	B9B0	3EBA	AD62	75C8	B70F	F06E	
000B	17D9	DFCC	57CD	8254	7345	E011	
000B	3779	ED72	688D	F67B	37E5	4F89	
000B	E277	0474	DD1E	0C48	486C	F87D	
000B	7C3F	16BC	44A9	1A58	E412	9297	
0000	3DC2	16B6	E30D	BCAB	C592	F9B5	
0002	719C	7024	9EE0	C175	A5DD	C933	
0002	8E16	BBCA	05C0	1A73	81BE	F821	
0000	0000	0000	0000	0000	0000	0000	
0008	2716	F544	0D35	C20E	83D7	7D73	
0008	81A1	B772	1B57	437A	85FA	B6C1	
0008	27EB	5A7A	BD1A	27EB	5A7A	BD1A	
0008	98DE	8C36	DDD5	F74B	4F0A	1F14	
0008	34F5	F199	A9F2	3D27	C707	B9AD	
0008	678F	DB91	2A2E	8D91	6EEE	925E	
0004	D82F	F4D7	546F	D6C7	87D9	0143	
0004	100E	ADF2	1FDD	45F1	4772	F8C6	
0004	EF0B	71BB	B7F7	BFA3	03B8	E44E	
0004	DFD1	676A	8597	E8AC	E210	9A4D	
0004	AB48	DD9B	4343	04B8	0DCC	3B3D	
0004	836B	6BBF	9DBB	3DB7	5957	7341	
0007	0000	0000	0000	0000	0000	0000	
0009	B1CC	19E2	0EA5	B1CC	19E2	0EA5	
0009	F093	B2DF	1409	271E	E0B3	418A	
0009	3AC2	0102	BF01	3AC2	0102	BF01	
0009	3AC6	E449	A56E	A4CF	EDA0	1719	
0009	9BCF	C333	6384	4298	D455	7BFA	
0009	839E	0BA7	1466	DB6D	D1B3	1233	
0009	3F67	7A70	83DE	7052	07D2	36FF	
0009	A409	692D	E286	C63C	82D0	5D07	
0009	D6CA	1866	839C	BC6A	86AD	4DC6	
0009	96FC	A1EF	A9E6	B9D2	A3C5	A045	
0009	7D2B	E7DC	55DB	378E	4765	B09C	
0009	E2AF	2D43	71FE	E390	93B3	57E3	
0009	9367	098A	3B68	D6F8	4EAF	7B83	
000F	0000	0000	0000	0000	0000	0000	
000F	0000	0000	0000	0000	0000	0000	
0007	993D	A2B2	5028	825E	25B8	D8EF	
0006	6553	024D	FD22	D469	18E4	32F6	
0006	F742	0CB5	8ED2	6021	6AD5	AA88	
0004	06D8	82EF	5B19	4147	5AE1	374E	
0004	284D	3E7C	9330	CF1E	013F	4E29	
0006	E339	C0B6	E5FC	7054	83A8	C118	
0004	B49F	0002	4EF6	8849	0002	070B	
0002	2D56	A1EE	4105	8AE6	6A2A	60DD	
0009	79B2	BC78	B9B9	C76A	97A1	3DA3	
0009	3292	DDC3	9265	12A6	E935	B9BC	
0003	04DB	3CFD	DB5C	3B29	50B7	83D1	
0004	BE64	08AD	150D	6AED	542E	63B3	
0004	D7E5	1369	5ACC	535A	2105	1BF7	
0004	7222	3CEE	1A15	122A	ADEC	5EF3	
0004	927F	10B0	5125	7F4E	BBC5	8088	
000B	E89D	7502	9003	469D	19F0	A5E6	
000B	3771	C002	80FF	DBF6	1705	497A	
000E	A954	AFDE	BB6C	D4A6	9883	FA27	
000E	DE9F	CEF0	6346	80FB	A382	14D1	
000E	448E	D4CC	C1B5	442F	C1D1	EE05	
000E	C7C0	F918	095E	ECE2	06D4	C64D	
000E	C491	16EC	DEA7	5A19	9DE7	FF28	
000E	E889	2DA6	2775	153C	BAE6	CB1B	
0000	2D56	A1EE	4105	8AE6	6A2A	60DD	
0006	E5E6	8FB7	D5FE	E959	D656	FB82	
0007	5876	3A4F	D115	A10D	265D	2C02	
0007	787E	C128	D96A	60C9	18E7	99AD	
0007	879A	90E4	C20F	35FE	C807	91D8	
0007	40AE	62B6	D240	AC8D	47C5	17D1	
0000	0000	0000	0000	0000	0000	0000	
0007	15C6	B37D	118A	4E61	5D02	7D50	
0006	15C6	B37D	118A	4E61	5D02	7D50	
0003	0000	0000	0000	0000	0000	0000	
0003	2469	8AE5	524F	E5F6	BE4A	C865	
0005	2957	1B22	27C7	9663	0DDF	411F	
0007	15C6	B37D	118A	4E61	5D02	7D50	
0004	0000	0000	0000	0000	0000	0000	
0006	F8F4	F1E0	473F	41DD	A510	C9C6	
0008	0000	0000	0000	0000	0000	0000	
0004	7A51	2382	9B36	29E5	5921	017A	
0004	8666	3DD9	E619	6134	CC94	1A5C	
0004	7F39	31C5	9AC3	70AB	0551	B069	
0003	D727	7AB2	786B	F5AD	3FC4	D6CE	
0003	4548	D59E	1EDC	E88D	E9E4	AF76	
0003	262F	491B	FD57	6715	E7ED	2626	
000F	0000	0000	0000	0000	0000	0000	
0000	0000	0000	0000	0000	0000	0000	
0004	BCAE	0BD1	0FF7	3A30	7240	83B7	
0000	0000	0000	0000	0000	0000	0000	
0000	0000	0000	0000	0000	0000	0000	
0000	0000	0000	0000	0000	0000	0000	
0006	B2C6	170A	0A23	6BBE	B593	82DB	
