PD TLB Correspondance:

  Perfect Dark compresses the ASM loaded to TLB addresses.  Unlike GoldenEye, these are 0x1000 byte clumps instead of 0x2000.
  To find the start of the block regardless region and version, search for "1173001000".  This is the compression header plus the decompressed file size, which in this case is always 0x1000.

TLB address	E 1.0	E 1.1	NPDJ	NPDP
table index	4FC40	 4FC40	4FC40	4FC40	all offsets relative to this base address
7F000000	5032E	 5032E	50332	50336	
7F001000		 50BCA			
7F002000		 516A0			
7F003000		 521A4			
7F004000		 52BD2			
7F005000		 536AE			
7F006000		 540D8			
7F007000		 54AB2			
7F008000		 55352			
7F009000		 55A98			
7F00A000		 56560			
7F00B000		 56FE0			
7F00C000		 579AC			
7F00D000		 582FA			
7F00E000		 58D62			
7F00F000		 597F6			
7F010000		 5A0E0			
7F011000		 5AB44			
7F012000		 5B438			
7F013000		 5BFC6			
7F014000		 5C986			
7F015000		 5D480			
7F016000		 5DE76			
7F017000		 5E864			
7F018000		 5F29E			
7F019000		 5FC42			
7F01A000		 60654			
7F01B000		 60EC6			
7F01C000		 61928			
7F01D000		 62370			
7F01E000		 62E08			
7F01F000		 63816			
7F020000		 6429C			
7F021000		 64DE2			
7F022000		 657EC			
7F023000		 6628C			
7F024000		 66C58			
7F025000		 67734			
7F026000		 6824C			
7F027000		 68AFA			
7F028000		 69562			
7F029000		 6A096			
7F02A000		 6AAA4			
7F02B000		 6B470			
7F02C000		 6BD9E			
7F02D000		 6C868			
7F02E000		 6D376			
7F02F000		 6DC62			
7F030000		 6E2DC			
7F031000		 6EB66			
7F032000		 6F63C			
7F033000		 6FFDE			
7F034000		 70A9A			
7F035000		 7140E			
7F036000		 71E5A			
7F037000		 72856			
7F038000		 73240			
7F039000		 73C80			
7F03A000		 74560			
7F03B000		 74C12			
7F03C000		 75686			
7F03D000		 76062			
7F03E000		 769E4			
7F03F000		 772B0			
7F040000		 77CDC			
7F041000		 787FC			
7F042000		 792D4			
7F043000		 79CF2			
7F044000		 7A64C			
7F045000		 7AFE6			
7F046000		 7B950			
7F047000		 7C2EE			
7F048000		 7CDB0			
7F049000		 7D7A2			
7F04A000		 7DF86			
7F04B000		 7E942			
7F04C000		 7F43A			
7F04D000		 7FF1A			
7F04E000		 808BA			
7F04F000		 80F28			
7F050000		 8135A			
7F051000		 81906			
7F052000		 82144			
7F053000		 82734			
7F054000		 82CDE			
7F055000		 8315A			
7F056000		 8396E			
7F057000		 84208			
7F058000		 84A34			
7F059000		 8524A			
7F05A000		 85B4A			
7F05B000		 8653C			
7F05C000		 86E0C			
7F05D000		 876E0			
7F05E000		 87E48			
7F05F000		 88794			
7F060000		 89024			
7F061000		 89A14			
7F062000		 8A49A			
7F063000		 8AF2E			
7F064000		 8B88E			
7F065000		 8C2DA			
7F066000		 8CD38			
7F067000		 8D60C			
7F068000		 8DEDA			
7F069000		 8E84A			
7F06A000		 8F302			
7F06B000		 8FD62			
7F06C000		 9083C			
7F06D000		 91378			
7F06E000		 91D1A			
7F06F000		 926E8			
7F070000		 9306C			
7F071000		 93AA0			
7F072000		 944C0			
7F073000		 94F64			
7F074000		 95A24			
7F075000		 963DA			
7F076000		 96E30			
7F077000		 97844			
7F078000		 98302			
7F079000		 98CA2			
7F07A000		 99642			
7F07B000		 9A0FC			
